feature,source_series,group,feat_type
IPFPNSS__lag12,IPFPNSS,Output and Income,lag
IPFINAL__lag1,IPFINAL,Output and Income,lag
IPFINAL__lag3,IPFINAL,Output and Income,lag
IPFINAL__lag6,IPFINAL,Output and Income,lag
IPFINAL__lag9,IPFINAL,Output and Income,lag
IPFINAL__lag12,IPFINAL,Output and Income,lag
IPCONGD__lag1,IPCONGD,Output and Income,lag
IPCONGD__lag3,IPCONGD,Output and Income,lag
IPCONGD__lag6,IPCONGD,Output and Income,lag
IPCONGD__lag9,IPCONGD,Output and Income,lag
IPCONGD__lag12,IPCONGD,Output and Income,lag
IPDCONGD__lag1,IPDCONGD,Output and Income,lag
IPDCONGD__lag3,IPDCONGD,Output and Income,lag
IPDCONGD__lag6,IPDCONGD,Output and Income,lag
IPDCONGD__lag9,IPDCONGD,Output and Income,lag
IPDCONGD__lag12,IPDCONGD,Output and Income,lag
IPNCONGD__lag1,IPNCONGD,Output and Income,lag
IPNCONGD__lag3,IPNCONGD,Output and Income,lag
IPNCONGD__lag6,IPNCONGD,Output and Income,lag
IPNCONGD__lag9,IPNCONGD,Output and Income,lag
IPNCONGD__lag12,IPNCONGD,Output and Income,lag
IPBUSEQ__lag1,IPBUSEQ,Output and Income,lag
IPBUSEQ__lag3,IPBUSEQ,Output and Income,lag
IPBUSEQ__lag6,IPBUSEQ,Output and Income,lag
IPBUSEQ__lag9,IPBUSEQ,Output and Income,lag
IPBUSEQ__lag12,IPBUSEQ,Output and Income,lag
IPMAT__lag1,IPMAT,Output and Income,lag
IPMAT__lag3,IPMAT,Output and Income,lag
IPMAT__lag6,IPMAT,Output and Income,lag
IPMAT__lag9,IPMAT,Output and Income,lag
IPMAT__lag12,IPMAT,Output and Income,lag
IPDMAT__lag1,IPDMAT,Output and Income,lag
IPDMAT__lag3,IPDMAT,Output and Income,lag
IPDMAT__lag6,IPDMAT,Output and Income,lag
IPDMAT__lag9,IPDMAT,Output and Income,lag
IPDMAT__lag12,IPDMAT,Output and Income,lag
IPNMAT__lag1,IPNMAT,Output and Income,lag
IPNMAT__lag3,IPNMAT,Output and Income,lag
IPNMAT__lag6,IPNMAT,Output and Income,lag
IPNMAT__lag9,IPNMAT,Output and Income,lag
IPNMAT__lag12,IPNMAT,Output and Income,lag
IPMANSICS__lag1,IPMANSICS,Output and Income,lag
IPMANSICS__lag3,IPMANSICS,Output and Income,lag
IPMANSICS__lag6,IPMANSICS,Output and Income,lag
IPMANSICS__lag9,IPMANSICS,Output and Income,lag
IPMANSICS__lag12,IPMANSICS,Output and Income,lag
IPB51222S__lag1,IPB51222S,Output and Income,lag
IPB51222S__lag3,IPB51222S,Output and Income,lag
IPB51222S__lag6,IPB51222S,Output and Income,lag
IPB51222S__lag9,IPB51222S,Output and Income,lag
IPB51222S__lag12,IPB51222S,Output and Income,lag
IPFUELS__lag1,IPFUELS,Output and Income,lag
IPFUELS__lag3,IPFUELS,Output and Income,lag
IPFUELS__lag6,IPFUELS,Output and Income,lag
IPFUELS__lag9,IPFUELS,Output and Income,lag
IPFUELS__lag12,IPFUELS,Output and Income,lag
CUMFNS__lag1,CUMFNS,Output and Income,lag
CUMFNS__lag3,CUMFNS,Output and Income,lag
CUMFNS__lag6,CUMFNS,Output and Income,lag
CUMFNS__lag9,CUMFNS,Output and Income,lag
CUMFNS__lag12,CUMFNS,Output and Income,lag
CLF16OV__lag1,CLF16OV,Labor Market,lag
CLF16OV__lag3,CLF16OV,Labor Market,lag
CLF16OV__lag6,CLF16OV,Labor Market,lag
CLF16OV__lag9,CLF16OV,Labor Market,lag
CLF16OV__lag12,CLF16OV,Labor Market,lag
CE16OV__lag1,CE16OV,Labor Market,lag
CE16OV__lag3,CE16OV,Labor Market,lag
CE16OV__lag6,CE16OV,Labor Market,lag
CE16OV__lag9,CE16OV,Labor Market,lag
CE16OV__lag12,CE16OV,Labor Market,lag
UNRATE__lag1,UNRATE,Labor Market,lag
UNRATE__lag3,UNRATE,Labor Market,lag
UNRATE__lag6,UNRATE,Labor Market,lag
UNRATE__lag9,UNRATE,Labor Market,lag
UNRATE__lag12,UNRATE,Labor Market,lag
UEMPMEAN__lag1,UEMPMEAN,Labor Market,lag
UEMPMEAN__lag3,UEMPMEAN,Labor Market,lag
UEMPMEAN__lag6,UEMPMEAN,Labor Market,lag
UEMPMEAN__lag9,UEMPMEAN,Labor Market,lag
UEMPMEAN__lag12,UEMPMEAN,Labor Market,lag
UEMPLT5__lag1,UEMPLT5,Labor Market,lag
UEMPLT5__lag3,UEMPLT5,Labor Market,lag
UEMPLT5__lag6,UEMPLT5,Labor Market,lag
UEMPLT5__lag9,UEMPLT5,Labor Market,lag
UEMPLT5__lag12,UEMPLT5,Labor Market,lag
UEMP5TO14__lag1,UEMP5TO14,Labor Market,lag
UEMP5TO14__lag3,UEMP5TO14,Labor Market,lag
UEMP5TO14__lag6,UEMP5TO14,Labor Market,lag
UEMP5TO14__lag9,UEMP5TO14,Labor Market,lag
UEMP5TO14__lag12,UEMP5TO14,Labor Market,lag
UEMP15OV__lag1,UEMP15OV,Labor Market,lag
UEMP15OV__lag3,UEMP15OV,Labor Market,lag
UEMP15OV__lag6,UEMP15OV,Labor Market,lag
UEMP15OV__lag9,UEMP15OV,Labor Market,lag
UEMP15OV__lag12,UEMP15OV,Labor Market,lag
UEMP15T26__lag1,UEMP15T26,Labor Market,lag
UEMP15T26__lag3,UEMP15T26,Labor Market,lag
UEMP15T26__lag6,UEMP15T26,Labor Market,lag
UEMP15T26__lag9,UEMP15T26,Labor Market,lag
UEMP15T26__lag12,UEMP15T26,Labor Market,lag
UEMP27OV__lag1,UEMP27OV,Labor Market,lag
UEMP27OV__lag3,UEMP27OV,Labor Market,lag
