feature,source_series,group,feat_type
WPSFD49502__mom3,WPSFD49502,Prices,momentum
WPSFD49502__mom6,WPSFD49502,Prices,momentum
WPSFD49502__mom12,WPSFD49502,Prices,momentum
WPSID61__mom3,WPSID61,Prices,momentum
WPSID61__mom6,WPSID61,Prices,momentum
WPSID61__mom12,WPSID61,Prices,momentum
WPSID62__mom3,WPSID62,Prices,momentum
WPSID62__mom6,WPSID62,Prices,momentum
WPSID62__mom12,WPSID62,Prices,momentum
OILPRICEx__mom3,OILPRICEx,Prices,momentum
OILPRICEx__mom6,OILPRICEx,Prices,momentum
OILPRICEx__mom12,OILPRICEx,Prices,momentum
PPICMM__mom3,PPICMM,Prices,momentum
PPICMM__mom6,PPICMM,Prices,momentum
PPICMM__mom12,PPICMM,Prices,momentum
CPIAUCSL__mom3,CPIAUCSL,Prices,momentum
CPIAUCSL__mom6,CPIAUCSL,Prices,momentum
CPIAUCSL__mom12,CPIAUCSL,Prices,momentum
CPIAPPSL__mom3,CPIAPPSL,Prices,momentum
CPIAPPSL__mom6,CPIAPPSL,Prices,momentum
CPIAPPSL__mom12,CPIAPPSL,Prices,momentum
CPITRNSL__mom3,CPITRNSL,Prices,momentum
CPITRNSL__mom6,CPITRNSL,Prices,momentum
CPITRNSL__mom12,CPITRNSL,Prices,momentum
CPIMEDSL__mom3,CPIMEDSL,Prices,momentum
CPIMEDSL__mom6,CPIMEDSL,Prices,momentum
CPIMEDSL__mom12,CPIMEDSL,Prices,momentum
CUSR0000SAC__mom3,CUSR0000SAC,Prices,momentum
CUSR0000SAC__mom6,CUSR0000SAC,Prices,momentum
CUSR0000SAC__mom12,CUSR0000SAC,Prices,momentum
CUUR0000SAD__mom3,CUUR0000SAD,Prices,momentum
CUUR0000SAD__mom6,CUUR0000SAD,Prices,momentum
CUUR0000SAD__mom12,CUUR0000SAD,Prices,momentum
CUSR0000SAS__mom3,CUSR0000SAS,Prices,momentum
CUSR0000SAS__mom6,CUSR0000SAS,Prices,momentum
CUSR0000SAS__mom12,CUSR0000SAS,Prices,momentum
CPIULFSL__mom3,CPIULFSL,Prices,momentum
CPIULFSL__mom6,CPIULFSL,Prices,momentum
CPIULFSL__mom12,CPIULFSL,Prices,momentum
CUUR0000SA0L2__mom3,CUUR0000SA0L2,Prices,momentum
CUUR0000SA0L2__mom6,CUUR0000SA0L2,Prices,momentum
CUUR0000SA0L2__mom12,CUUR0000SA0L2,Prices,momentum
CUSR0000SA0L5__mom3,CUSR0000SA0L5,Prices,momentum
CUSR0000SA0L5__mom6,CUSR0000SA0L5,Prices,momentum
CUSR0000SA0L5__mom12,CUSR0000SA0L5,Prices,momentum
PCEPI__mom3,PCEPI,Prices,momentum
PCEPI__mom6,PCEPI,Prices,momentum
PCEPI__mom12,PCEPI,Prices,momentum
DDURRG3M086SBEA__mom3,DDURRG3M086SBEA,Prices,momentum
DDURRG3M086SBEA__mom6,DDURRG3M086SBEA,Prices,momentum
DDURRG3M086SBEA__mom12,DDURRG3M086SBEA,Prices,momentum
DNDGRG3M086SBEA__mom3,DNDGRG3M086SBEA,Prices,momentum
DNDGRG3M086SBEA__mom6,DNDGRG3M086SBEA,Prices,momentum
DNDGRG3M086SBEA__mom12,DNDGRG3M086SBEA,Prices,momentum
DSERRG3M086SBEA__mom3,DSERRG3M086SBEA,Prices,momentum
DSERRG3M086SBEA__mom6,DSERRG3M086SBEA,Prices,momentum
DSERRG3M086SBEA__mom12,DSERRG3M086SBEA,Prices,momentum
CES0600000008__mom3,CES0600000008,Prices,momentum
CES0600000008__mom6,CES0600000008,Prices,momentum
CES0600000008__mom12,CES0600000008,Prices,momentum
CES2000000008__mom3,CES2000000008,Prices,momentum
CES2000000008__mom6,CES2000000008,Prices,momentum
CES2000000008__mom12,CES2000000008,Prices,momentum
CES3000000008__mom3,CES3000000008,Prices,momentum
CES3000000008__mom6,CES3000000008,Prices,momentum
CES3000000008__mom12,CES3000000008,Prices,momentum
CONSPI__mom3,CONSPI,Money and Credit,momentum
CONSPI__mom6,CONSPI,Money and Credit,momentum
CONSPI__mom12,CONSPI,Money and Credit,momentum
TB3SMFFM__mom3,TB3SMFFM,Interest and Exchange Rates,momentum
TB3SMFFM__mom6,TB3SMFFM,Interest and Exchange Rates,momentum
TB3SMFFM__mom12,TB3SMFFM,Interest and Exchange Rates,momentum
TB6SMFFM__mom3,TB6SMFFM,Interest and Exchange Rates,momentum
TB6SMFFM__mom6,TB6SMFFM,Interest and Exchange Rates,momentum
TB6SMFFM__mom12,TB6SMFFM,Interest and Exchange Rates,momentum
T1YFFM__mom3,T1YFFM,Interest and Exchange Rates,momentum
T1YFFM__mom6,T1YFFM,Interest and Exchange Rates,momentum
T1YFFM__mom12,T1YFFM,Interest and Exchange Rates,momentum
T5YFFM__mom3,T5YFFM,Interest and Exchange Rates,momentum
T5YFFM__mom6,T5YFFM,Interest and Exchange Rates,momentum
T5YFFM__mom12,T5YFFM,Interest and Exchange Rates,momentum
T10YFFM__mom3,T10YFFM,Interest and Exchange Rates,momentum
T10YFFM__mom6,T10YFFM,Interest and Exchange Rates,momentum
T10YFFM__mom12,T10YFFM,Interest and Exchange Rates,momentum
AAAFFM__mom3,AAAFFM,Interest and Exchange Rates,momentum
AAAFFM__mom6,AAAFFM,Interest and Exchange Rates,momentum
AAAFFM__mom12,AAAFFM,Interest and Exchange Rates,momentum
BAAFFM__mom3,BAAFFM,Interest and Exchange Rates,momentum
BAAFFM__mom6,BAAFFM,Interest and Exchange Rates,momentum
BAAFFM__mom12,BAAFFM,Interest and Exchange Rates,momentum
SP500__mom3,SP500,Stock Market,momentum
SP500__mom6,SP500,Stock Market,momentum
SP500__mom12,SP500,Stock Market,momentum
RPI__rollmean6,RPI,Output and Income,rolling_stat
RPI__rollstd6,RPI,Output and Income,rolling_stat
RPI__rollz6,RPI,Output and Income,rolling_stat
RPI__rollmean12,RPI,Output and Income,rolling_stat
RPI__rollstd12,RPI,Output and Income,rolling_stat
RPI__rollz12,RPI,Output and Income,rolling_stat
RPI__rollmean24,RPI,Output and Income,rolling_stat
RPI__rollstd24,RPI,Output and Income,rolling_stat
RPI__rollz24,RPI,Output and Income,rolling_stat
W875RX1__rollmean6,W875RX1,Output and Income,rolling_stat
W875RX1__rollstd6,W875RX1,Output and Income,rolling_stat
W875RX1__rollz6,W875RX1,Output and Income,rolling_stat
W875RX1__rollmean12,W875RX1,Output and Income,rolling_stat
W875RX1__rollstd12,W875RX1,Output and Income,rolling_stat
W875RX1__rollz12,W875RX1,Output and Income,rolling_stat
W875RX1__rollmean24,W875RX1,Output and Income,rolling_stat
W875RX1__rollstd24,W875RX1,Output and Income,rolling_stat
W875RX1__rollz24,W875RX1,Output and Income,rolling_stat
INDPRO__rollmean6,INDPRO,Output and Income,rolling_stat
INDPRO__rollstd6,INDPRO,Output and Income,rolling_stat
INDPRO__rollz6,INDPRO,Output and Income,rolling_stat
INDPRO__rollmean12,INDPRO,Output and Income,rolling_stat
INDPRO__rollstd12,INDPRO,Output and Income,rolling_stat
INDPRO__rollz12,INDPRO,Output and Income,rolling_stat
INDPRO__rollmean24,INDPRO,Output and Income,rolling_stat
INDPRO__rollstd24,INDPRO,Output and Income,rolling_stat
INDPRO__rollz24,INDPRO,Output and Income,rolling_stat
IPFPNSS__rollmean6,IPFPNSS,Output and Income,rolling_stat
IPFPNSS__rollstd6,IPFPNSS,Output and Income,rolling_stat
IPFPNSS__rollz6,IPFPNSS,Output and Income,rolling_stat
IPFPNSS__rollmean12,IPFPNSS,Output and Income,rolling_stat
IPFPNSS__rollstd12,IPFPNSS,Output and Income,rolling_stat
IPFPNSS__rollz12,IPFPNSS,Output and Income,rolling_stat
IPFPNSS__rollmean24,IPFPNSS,Output and Income,rolling_stat
IPFPNSS__rollstd24,IPFPNSS,Output and Income,rolling_stat
IPFPNSS__rollz24,IPFPNSS,Output and Income,rolling_stat
IPFINAL__rollmean6,IPFINAL,Output and Income,rolling_stat
IPFINAL__rollstd6,IPFINAL,Output and Income,rolling_stat
IPFINAL__rollz6,IPFINAL,Output and Income,rolling_stat
IPFINAL__rollmean12,IPFINAL,Output and Income,rolling_stat
IPFINAL__rollstd12,IPFINAL,Output and Income,rolling_stat
IPFINAL__rollz12,IPFINAL,Output and Income,rolling_stat
IPFINAL__rollmean24,IPFINAL,Output and Income,rolling_stat
IPFINAL__rollstd24,IPFINAL,Output and Income,rolling_stat
IPFINAL__rollz24,IPFINAL,Output and Income,rolling_stat
IPCONGD__rollmean6,IPCONGD,Output and Income,rolling_stat
IPCONGD__rollstd6,IPCONGD,Output and Income,rolling_stat
IPCONGD__rollz6,IPCONGD,Output and Income,rolling_stat
IPCONGD__rollmean12,IPCONGD,Output and Income,rolling_stat
IPCONGD__rollstd12,IPCONGD,Output and Income,rolling_stat
IPCONGD__rollz12,IPCONGD,Output and Income,rolling_stat
IPCONGD__rollmean24,IPCONGD,Output and Income,rolling_stat
IPCONGD__rollstd24,IPCONGD,Output and Income,rolling_stat
IPCONGD__rollz24,IPCONGD,Output and Income,rolling_stat
IPDCONGD__rollmean6,IPDCONGD,Output and Income,rolling_stat
IPDCONGD__rollstd6,IPDCONGD,Output and Income,rolling_stat
IPDCONGD__rollz6,IPDCONGD,Output and Income,rolling_stat
IPDCONGD__rollmean12,IPDCONGD,Output and Income,rolling_stat
IPDCONGD__rollstd12,IPDCONGD,Output and Income,rolling_stat
IPDCONGD__rollz12,IPDCONGD,Output and Income,rolling_stat
IPDCONGD__rollmean24,IPDCONGD,Output and Income,rolling_stat
IPDCONGD__rollstd24,IPDCONGD,Output and Income,rolling_stat
IPDCONGD__rollz24,IPDCONGD,Output and Income,rolling_stat
IPNCONGD__rollmean6,IPNCONGD,Output and Income,rolling_stat
IPNCONGD__rollstd6,IPNCONGD,Output and Income,rolling_stat
IPNCONGD__rollz6,IPNCONGD,Output and Income,rolling_stat
IPNCONGD__rollmean12,IPNCONGD,Output and Income,rolling_stat
IPNCONGD__rollstd12,IPNCONGD,Output and Income,rolling_stat
IPNCONGD__rollz12,IPNCONGD,Output and Income,rolling_stat
IPNCONGD__rollmean24,IPNCONGD,Output and Income,rolling_stat
IPNCONGD__rollstd24,IPNCONGD,Output and Income,rolling_stat
IPNCONGD__rollz24,IPNCONGD,Output and Income,rolling_stat
IPBUSEQ__rollmean6,IPBUSEQ,Output and Income,rolling_stat
IPBUSEQ__rollstd6,IPBUSEQ,Output and Income,rolling_stat
IPBUSEQ__rollz6,IPBUSEQ,Output and Income,rolling_stat
IPBUSEQ__rollmean12,IPBUSEQ,Output and Income,rolling_stat
IPBUSEQ__rollstd12,IPBUSEQ,Output and Income,rolling_stat
IPBUSEQ__rollz12,IPBUSEQ,Output and Income,rolling_stat
IPBUSEQ__rollmean24,IPBUSEQ,Output and Income,rolling_stat
IPBUSEQ__rollstd24,IPBUSEQ,Output and Income,rolling_stat
IPBUSEQ__rollz24,IPBUSEQ,Output and Income,rolling_stat
IPMAT__rollmean6,IPMAT,Output and Income,rolling_stat
IPMAT__rollstd6,IPMAT,Output and Income,rolling_stat
IPMAT__rollz6,IPMAT,Output and Income,rolling_stat
IPMAT__rollmean12,IPMAT,Output and Income,rolling_stat
IPMAT__rollstd12,IPMAT,Output and Income,rolling_stat
IPMAT__rollz12,IPMAT,Output and Income,rolling_stat
IPMAT__rollmean24,IPMAT,Output and Income,rolling_stat
IPMAT__rollstd24,IPMAT,Output and Income,rolling_stat
IPMAT__rollz24,IPMAT,Output and Income,rolling_stat
IPDMAT__rollmean6,IPDMAT,Output and Income,rolling_stat
IPDMAT__rollstd6,IPDMAT,Output and Income,rolling_stat
IPDMAT__rollz6,IPDMAT,Output and Income,rolling_stat
IPDMAT__rollmean12,IPDMAT,Output and Income,rolling_stat
IPDMAT__rollstd12,IPDMAT,Output and Income,rolling_stat
IPDMAT__rollz12,IPDMAT,Output and Income,rolling_stat
IPDMAT__rollmean24,IPDMAT,Output and Income,rolling_stat
IPDMAT__rollstd24,IPDMAT,Output and Income,rolling_stat
IPDMAT__rollz24,IPDMAT,Output and Income,rolling_stat
IPNMAT__rollmean6,IPNMAT,Output and Income,rolling_stat
IPNMAT__rollstd6,IPNMAT,Output and Income,rolling_stat
IPNMAT__rollz6,IPNMAT,Output and Income,rolling_stat
IPNMAT__rollmean12,IPNMAT,Output and Income,rolling_stat
IPNMAT__rollstd12,IPNMAT,Output and Income,rolling_stat
IPNMAT__rollz12,IPNMAT,Output and Income,rolling_stat
IPNMAT__rollmean24,IPNMAT,Output and Income,rolling_stat
IPNMAT__rollstd24,IPNMAT,Output and Income,rolling_stat
IPNMAT__rollz24,IPNMAT,Output and Income,rolling_stat
IPMANSICS__rollmean6,IPMANSICS,Output and Income,rolling_stat
IPMANSICS__rollstd6,IPMANSICS,Output and Income,rolling_stat
IPMANSICS__rollz6,IPMANSICS,Output and Income,rolling_stat
IPMANSICS__rollmean12,IPMANSICS,Output and Income,rolling_stat
IPMANSICS__rollstd12,IPMANSICS,Output and Income,rolling_stat
IPMANSICS__rollz12,IPMANSICS,Output and Income,rolling_stat
IPMANSICS__rollmean24,IPMANSICS,Output and Income,rolling_stat
IPMANSICS__rollstd24,IPMANSICS,Output and Income,rolling_stat
IPMANSICS__rollz24,IPMANSICS,Output and Income,rolling_stat
IPB51222S__rollmean6,IPB51222S,Output and Income,rolling_stat
IPB51222S__rollstd6,IPB51222S,Output and Income,rolling_stat
IPB51222S__rollz6,IPB51222S,Output and Income,rolling_stat
IPB51222S__rollmean12,IPB51222S,Output and Income,rolling_stat
IPB51222S__rollstd12,IPB51222S,Output and Income,rolling_stat
IPB51222S__rollz12,IPB51222S,Output and Income,rolling_stat
IPB51222S__rollmean24,IPB51222S,Output and Income,rolling_stat
IPB51222S__rollstd24,IPB51222S,Output and Income,rolling_stat
IPB51222S__rollz24,IPB51222S,Output and Income,rolling_stat
IPFUELS__rollmean6,IPFUELS,Output and Income,rolling_stat
IPFUELS__rollstd6,IPFUELS,Output and Income,rolling_stat
IPFUELS__rollz6,IPFUELS,Output and Income,rolling_stat
IPFUELS__rollmean12,IPFUELS,Output and Income,rolling_stat
IPFUELS__rollstd12,IPFUELS,Output and Income,rolling_stat
IPFUELS__rollz12,IPFUELS,Output and Income,rolling_stat
IPFUELS__rollmean24,IPFUELS,Output and Income,rolling_stat
IPFUELS__rollstd24,IPFUELS,Output and Income,rolling_stat
IPFUELS__rollz24,IPFUELS,Output and Income,rolling_stat
CUMFNS__rollmean6,CUMFNS,Output and Income,rolling_stat
CUMFNS__rollstd6,CUMFNS,Output and Income,rolling_stat
CUMFNS__rollz6,CUMFNS,Output and Income,rolling_stat
CUMFNS__rollmean12,CUMFNS,Output and Income,rolling_stat
CUMFNS__rollstd12,CUMFNS,Output and Income,rolling_stat
CUMFNS__rollz12,CUMFNS,Output and Income,rolling_stat
CUMFNS__rollmean24,CUMFNS,Output and Income,rolling_stat
CUMFNS__rollstd24,CUMFNS,Output and Income,rolling_stat
CUMFNS__rollz24,CUMFNS,Output and Income,rolling_stat
CLF16OV__rollmean6,CLF16OV,Labor Market,rolling_stat
CLF16OV__rollstd6,CLF16OV,Labor Market,rolling_stat
CLF16OV__rollz6,CLF16OV,Labor Market,rolling_stat
CLF16OV__rollmean12,CLF16OV,Labor Market,rolling_stat
CLF16OV__rollstd12,CLF16OV,Labor Market,rolling_stat
CLF16OV__rollz12,CLF16OV,Labor Market,rolling_stat
CLF16OV__rollmean24,CLF16OV,Labor Market,rolling_stat
CLF16OV__rollstd24,CLF16OV,Labor Market,rolling_stat
CLF16OV__rollz24,CLF16OV,Labor Market,rolling_stat
CE16OV__rollmean6,CE16OV,Labor Market,rolling_stat
CE16OV__rollstd6,CE16OV,Labor Market,rolling_stat
CE16OV__rollz6,CE16OV,Labor Market,rolling_stat
CE16OV__rollmean12,CE16OV,Labor Market,rolling_stat
CE16OV__rollstd12,CE16OV,Labor Market,rolling_stat
CE16OV__rollz12,CE16OV,Labor Market,rolling_stat
CE16OV__rollmean24,CE16OV,Labor Market,rolling_stat
CE16OV__rollstd24,CE16OV,Labor Market,rolling_stat
CE16OV__rollz24,CE16OV,Labor Market,rolling_stat
UNRATE__rollmean6,UNRATE,Labor Market,rolling_stat
UNRATE__rollstd6,UNRATE,Labor Market,rolling_stat
UNRATE__rollz6,UNRATE,Labor Market,rolling_stat
UNRATE__rollmean12,UNRATE,Labor Market,rolling_stat
UNRATE__rollstd12,UNRATE,Labor Market,rolling_stat
UNRATE__rollz12,UNRATE,Labor Market,rolling_stat
UNRATE__rollmean24,UNRATE,Labor Market,rolling_stat
UNRATE__rollstd24,UNRATE,Labor Market,rolling_stat
UNRATE__rollz24,UNRATE,Labor Market,rolling_stat
UEMPMEAN__rollmean6,UEMPMEAN,Labor Market,rolling_stat
UEMPMEAN__rollstd6,UEMPMEAN,Labor Market,rolling_stat
UEMPMEAN__rollz6,UEMPMEAN,Labor Market,rolling_stat
UEMPMEAN__rollmean12,UEMPMEAN,Labor Market,rolling_stat
UEMPMEAN__rollstd12,UEMPMEAN,Labor Market,rolling_stat
UEMPMEAN__rollz12,UEMPMEAN,Labor Market,rolling_stat
UEMPMEAN__rollmean24,UEMPMEAN,Labor Market,rolling_stat
UEMPMEAN__rollstd24,UEMPMEAN,Labor Market,rolling_stat
UEMPMEAN__rollz24,UEMPMEAN,Labor Market,rolling_stat
UEMPLT5__rollmean6,UEMPLT5,Labor Market,rolling_stat
UEMPLT5__rollstd6,UEMPLT5,Labor Market,rolling_stat
UEMPLT5__rollz6,UEMPLT5,Labor Market,rolling_stat
UEMPLT5__rollmean12,UEMPLT5,Labor Market,rolling_stat
UEMPLT5__rollstd12,UEMPLT5,Labor Market,rolling_stat
UEMPLT5__rollz12,UEMPLT5,Labor Market,rolling_stat
UEMPLT5__rollmean24,UEMPLT5,Labor Market,rolling_stat
UEMPLT5__rollstd24,UEMPLT5,Labor Market,rolling_stat
UEMPLT5__rollz24,UEMPLT5,Labor Market,rolling_stat
UEMP5TO14__rollmean6,UEMP5TO14,Labor Market,rolling_stat
UEMP5TO14__rollstd6,UEMP5TO14,Labor Market,rolling_stat
UEMP5TO14__rollz6,UEMP5TO14,Labor Market,rolling_stat
UEMP5TO14__rollmean12,UEMP5TO14,Labor Market,rolling_stat
UEMP5TO14__rollstd12,UEMP5TO14,Labor Market,rolling_stat
UEMP5TO14__rollz12,UEMP5TO14,Labor Market,rolling_stat
UEMP5TO14__rollmean24,UEMP5TO14,Labor Market,rolling_stat
UEMP5TO14__rollstd24,UEMP5TO14,Labor Market,rolling_stat
UEMP5TO14__rollz24,UEMP5TO14,Labor Market,rolling_stat
UEMP15OV__rollmean6,UEMP15OV,Labor Market,rolling_stat
UEMP15OV__rollstd6,UEMP15OV,Labor Market,rolling_stat
UEMP15OV__rollz6,UEMP15OV,Labor Market,rolling_stat
UEMP15OV__rollmean12,UEMP15OV,Labor Market,rolling_stat
UEMP15OV__rollstd12,UEMP15OV,Labor Market,rolling_stat
UEMP15OV__rollz12,UEMP15OV,Labor Market,rolling_stat
UEMP15OV__rollmean24,UEMP15OV,Labor Market,rolling_stat
UEMP15OV__rollstd24,UEMP15OV,Labor Market,rolling_stat
UEMP15OV__rollz24,UEMP15OV,Labor Market,rolling_stat
UEMP15T26__rollmean6,UEMP15T26,Labor Market,rolling_stat
UEMP15T26__rollstd6,UEMP15T26,Labor Market,rolling_stat
UEMP15T26__rollz6,UEMP15T26,Labor Market,rolling_stat
UEMP15T26__rollmean12,UEMP15T26,Labor Market,rolling_stat
UEMP15T26__rollstd12,UEMP15T26,Labor Market,rolling_stat
UEMP15T26__rollz12,UEMP15T26,Labor Market,rolling_stat
UEMP15T26__rollmean24,UEMP15T26,Labor Market,rolling_stat
UEMP15T26__rollstd24,UEMP15T26,Labor Market,rolling_stat
UEMP15T26__rollz24,UEMP15T26,Labor Market,rolling_stat
UEMP27OV__rollmean6,UEMP27OV,Labor Market,rolling_stat
UEMP27OV__rollstd6,UEMP27OV,Labor Market,rolling_stat
UEMP27OV__rollz6,UEMP27OV,Labor Market,rolling_stat
UEMP27OV__rollmean12,UEMP27OV,Labor Market,rolling_stat
UEMP27OV__rollstd12,UEMP27OV,Labor Market,rolling_stat
UEMP27OV__rollz12,UEMP27OV,Labor Market,rolling_stat
UEMP27OV__rollmean24,UEMP27OV,Labor Market,rolling_stat
UEMP27OV__rollstd24,UEMP27OV,Labor Market,rolling_stat
UEMP27OV__rollz24,UEMP27OV,Labor Market,rolling_stat
PAYEMS__rollmean6,PAYEMS,Labor Market,rolling_stat
PAYEMS__rollstd6,PAYEMS,Labor Market,rolling_stat
PAYEMS__rollz6,PAYEMS,Labor Market,rolling_stat
PAYEMS__rollmean12,PAYEMS,Labor Market,rolling_stat
PAYEMS__rollstd12,PAYEMS,Labor Market,rolling_stat
PAYEMS__rollz12,PAYEMS,Labor Market,rolling_stat
PAYEMS__rollmean24,PAYEMS,Labor Market,rolling_stat
PAYEMS__rollstd24,PAYEMS,Labor Market,rolling_stat
PAYEMS__rollz24,PAYEMS,Labor Market,rolling_stat
USGOOD__rollmean6,USGOOD,Labor Market,rolling_stat
USGOOD__rollstd6,USGOOD,Labor Market,rolling_stat
USGOOD__rollz6,USGOOD,Labor Market,rolling_stat
USGOOD__rollmean12,USGOOD,Labor Market,rolling_stat
USGOOD__rollstd12,USGOOD,Labor Market,rolling_stat
USGOOD__rollz12,USGOOD,Labor Market,rolling_stat
USGOOD__rollmean24,USGOOD,Labor Market,rolling_stat
USGOOD__rollstd24,USGOOD,Labor Market,rolling_stat
USGOOD__rollz24,USGOOD,Labor Market,rolling_stat
CES1021000001__rollmean6,CES1021000001,Labor Market,rolling_stat
CES1021000001__rollstd6,CES1021000001,Labor Market,rolling_stat
CES1021000001__rollz6,CES1021000001,Labor Market,rolling_stat
CES1021000001__rollmean12,CES1021000001,Labor Market,rolling_stat
CES1021000001__rollstd12,CES1021000001,Labor Market,rolling_stat
CES1021000001__rollz12,CES1021000001,Labor Market,rolling_stat
CES1021000001__rollmean24,CES1021000001,Labor Market,rolling_stat
CES1021000001__rollstd24,CES1021000001,Labor Market,rolling_stat
CES1021000001__rollz24,CES1021000001,Labor Market,rolling_stat
USCONS__rollmean6,USCONS,Labor Market,rolling_stat
USCONS__rollstd6,USCONS,Labor Market,rolling_stat
USCONS__rollz6,USCONS,Labor Market,rolling_stat
USCONS__rollmean12,USCONS,Labor Market,rolling_stat
USCONS__rollstd12,USCONS,Labor Market,rolling_stat
USCONS__rollz12,USCONS,Labor Market,rolling_stat
USCONS__rollmean24,USCONS,Labor Market,rolling_stat
USCONS__rollstd24,USCONS,Labor Market,rolling_stat
USCONS__rollz24,USCONS,Labor Market,rolling_stat
MANEMP__rollmean6,MANEMP,Labor Market,rolling_stat
MANEMP__rollstd6,MANEMP,Labor Market,rolling_stat
MANEMP__rollz6,MANEMP,Labor Market,rolling_stat
MANEMP__rollmean12,MANEMP,Labor Market,rolling_stat
MANEMP__rollstd12,MANEMP,Labor Market,rolling_stat
MANEMP__rollz12,MANEMP,Labor Market,rolling_stat
MANEMP__rollmean24,MANEMP,Labor Market,rolling_stat
MANEMP__rollstd24,MANEMP,Labor Market,rolling_stat
MANEMP__rollz24,MANEMP,Labor Market,rolling_stat
DMANEMP__rollmean6,DMANEMP,Labor Market,rolling_stat
DMANEMP__rollstd6,DMANEMP,Labor Market,rolling_stat
DMANEMP__rollz6,DMANEMP,Labor Market,rolling_stat
DMANEMP__rollmean12,DMANEMP,Labor Market,rolling_stat
DMANEMP__rollstd12,DMANEMP,Labor Market,rolling_stat
DMANEMP__rollz12,DMANEMP,Labor Market,rolling_stat
DMANEMP__rollmean24,DMANEMP,Labor Market,rolling_stat
DMANEMP__rollstd24,DMANEMP,Labor Market,rolling_stat
DMANEMP__rollz24,DMANEMP,Labor Market,rolling_stat
NDMANEMP__rollmean6,NDMANEMP,Labor Market,rolling_stat
NDMANEMP__rollstd6,NDMANEMP,Labor Market,rolling_stat
NDMANEMP__rollz6,NDMANEMP,Labor Market,rolling_stat
NDMANEMP__rollmean12,NDMANEMP,Labor Market,rolling_stat
NDMANEMP__rollstd12,NDMANEMP,Labor Market,rolling_stat
NDMANEMP__rollz12,NDMANEMP,Labor Market,rolling_stat
NDMANEMP__rollmean24,NDMANEMP,Labor Market,rolling_stat
NDMANEMP__rollstd24,NDMANEMP,Labor Market,rolling_stat
NDMANEMP__rollz24,NDMANEMP,Labor Market,rolling_stat
SRVPRD__rollmean6,SRVPRD,Labor Market,rolling_stat
SRVPRD__rollstd6,SRVPRD,Labor Market,rolling_stat
SRVPRD__rollz6,SRVPRD,Labor Market,rolling_stat
SRVPRD__rollmean12,SRVPRD,Labor Market,rolling_stat
SRVPRD__rollstd12,SRVPRD,Labor Market,rolling_stat
SRVPRD__rollz12,SRVPRD,Labor Market,rolling_stat
SRVPRD__rollmean24,SRVPRD,Labor Market,rolling_stat
SRVPRD__rollstd24,SRVPRD,Labor Market,rolling_stat
SRVPRD__rollz24,SRVPRD,Labor Market,rolling_stat
USTPU__rollmean6,USTPU,Labor Market,rolling_stat
USTPU__rollstd6,USTPU,Labor Market,rolling_stat
USTPU__rollz6,USTPU,Labor Market,rolling_stat
USTPU__rollmean12,USTPU,Labor Market,rolling_stat
USTPU__rollstd12,USTPU,Labor Market,rolling_stat
USTPU__rollz12,USTPU,Labor Market,rolling_stat
USTPU__rollmean24,USTPU,Labor Market,rolling_stat
USTPU__rollstd24,USTPU,Labor Market,rolling_stat
USTPU__rollz24,USTPU,Labor Market,rolling_stat
USWTRADE__rollmean6,USWTRADE,Labor Market,rolling_stat
USWTRADE__rollstd6,USWTRADE,Labor Market,rolling_stat
USWTRADE__rollz6,USWTRADE,Labor Market,rolling_stat
USWTRADE__rollmean12,USWTRADE,Labor Market,rolling_stat
USWTRADE__rollstd12,USWTRADE,Labor Market,rolling_stat
USWTRADE__rollz12,USWTRADE,Labor Market,rolling_stat
USWTRADE__rollmean24,USWTRADE,Labor Market,rolling_stat
USWTRADE__rollstd24,USWTRADE,Labor Market,rolling_stat
USWTRADE__rollz24,USWTRADE,Labor Market,rolling_stat
USTRADE__rollmean6,USTRADE,Labor Market,rolling_stat
USTRADE__rollstd6,USTRADE,Labor Market,rolling_stat
USTRADE__rollz6,USTRADE,Labor Market,rolling_stat
USTRADE__rollmean12,USTRADE,Labor Market,rolling_stat
USTRADE__rollstd12,USTRADE,Labor Market,rolling_stat
USTRADE__rollz12,USTRADE,Labor Market,rolling_stat
USTRADE__rollmean24,USTRADE,Labor Market,rolling_stat
USTRADE__rollstd24,USTRADE,Labor Market,rolling_stat
USTRADE__rollz24,USTRADE,Labor Market,rolling_stat
USFIRE__rollmean6,USFIRE,Labor Market,rolling_stat
USFIRE__rollstd6,USFIRE,Labor Market,rolling_stat
USFIRE__rollz6,USFIRE,Labor Market,rolling_stat
USFIRE__rollmean12,USFIRE,Labor Market,rolling_stat
USFIRE__rollstd12,USFIRE,Labor Market,rolling_stat
USFIRE__rollz12,USFIRE,Labor Market,rolling_stat
USFIRE__rollmean24,USFIRE,Labor Market,rolling_stat
USFIRE__rollstd24,USFIRE,Labor Market,rolling_stat
USFIRE__rollz24,USFIRE,Labor Market,rolling_stat
USGOVT__rollmean6,USGOVT,Labor Market,rolling_stat
USGOVT__rollstd6,USGOVT,Labor Market,rolling_stat
USGOVT__rollz6,USGOVT,Labor Market,rolling_stat
USGOVT__rollmean12,USGOVT,Labor Market,rolling_stat
USGOVT__rollstd12,USGOVT,Labor Market,rolling_stat
USGOVT__rollz12,USGOVT,Labor Market,rolling_stat
USGOVT__rollmean24,USGOVT,Labor Market,rolling_stat
USGOVT__rollstd24,USGOVT,Labor Market,rolling_stat
