Feature,Importance,source_series,group,feat_type
IPDMAT__mom6,0.000100687685,IPDMAT,Output and Income,momentum
IPDMAT__lag6,9.992111e-05,IPDMAT,Output and Income,lag
M2SL__rollstd6,9.987898e-05,M2SL,Money and Credit,rolling_stat
CES3000000008__rollstd24,9.97052e-05,CES3000000008,Prices,rolling_stat
WPSID62__mom6,9.94122e-05,WPSID62,Prices,momentum
CES1021000001__lag12,9.922566e-05,CES1021000001,Labor Market,lag
PERMITNE__rollstd24,9.918674e-05,PERMITNE,Housing,rolling_stat
IPNMAT__rollstd24,9.8680604e-05,IPNMAT,Output and Income,rolling_stat
T10YFFM__rollmean6,9.778348e-05,T10YFFM,Interest and Exchange Rates,rolling_stat
DMANEMP__lag12,9.7782024e-05,DMANEMP,Labor Market,lag
DTCTHFNM__rollstd24,9.766317e-05,DTCTHFNM,Money and Credit,rolling_stat
RPI__lag3,9.735353e-05,RPI,Output and Income,lag
AAAFFM__lag12,9.7342796e-05,AAAFFM,Interest and Exchange Rates,lag
M2SL__rollstd12,9.6150245e-05,M2SL,Money and Credit,rolling_stat
PAYEMS__rollstd12,9.603454e-05,PAYEMS,Labor Market,rolling_stat
CUUR0000SA0L2__rollmean6,9.486259e-05,CUUR0000SA0L2,Prices,rolling_stat
PERMITMW__lag6,9.447278e-05,PERMITMW,Housing,lag
IPNCONGD__base,9.445865e-05,IPNCONGD,Output and Income,base
SRVPRD__mom12,9.436673e-05,SRVPRD,Labor Market,momentum
CE16OV__lag9,9.4250325e-05,CE16OV,Labor Market,lag
USTPU__mom12,9.3281196e-05,USTPU,Labor Market,momentum
W875RX1__lag1,9.312601e-05,W875RX1,Output and Income,lag
HOUST__mom12,9.306049e-05,HOUST,Housing,momentum
PERMITNE__rollmean12,9.296371e-05,PERMITNE,Housing,rolling_stat
HOUSTMW__mom12,9.291924e-05,HOUSTMW,Housing,momentum
CPIULFSL__rollmean24,9.18896e-05,CPIULFSL,Prices,rolling_stat
UEMP5TO14__lag3,9.1365546e-05,UEMP5TO14,Labor Market,lag
UEMP27OV__rollstd6,9.085414e-05,UEMP27OV,Labor Market,rolling_stat
BAA__mom6,9.0126996e-05,BAA,Interest and Exchange Rates,momentum
IPNMAT__lag3,8.966575e-05,IPNMAT,Output and Income,lag
CONSPI__base,8.9626075e-05,CONSPI,Money and Credit,base
CLF16OV__mom6,8.952969e-05,CLF16OV,Labor Market,momentum
IPCONGD__lag12,8.9407426e-05,IPCONGD,Output and Income,lag
AWHMAN__lag12,8.936267e-05,AWHMAN,Labor Market,lag
WPSID62__rollmean24,8.824281e-05,WPSID62,Prices,rolling_stat
T1YFFM__rollz12,8.7780645e-05,T1YFFM,Interest and Exchange Rates,rolling_stat
IPMAT__lag12,8.766108e-05,IPMAT,Output and Income,lag
IPCONGD__rollstd6,8.752408e-05,IPCONGD,Output and Income,rolling_stat
HOUSTMW__rollstd24,8.748002e-05,HOUSTMW,Housing,rolling_stat
HOUSTS__mom6,8.7278626e-05,HOUSTS,Housing,momentum
HOUSTS__rollz24,8.6774424e-05,HOUSTS,Housing,rolling_stat
DPCERA3M086SBEA__rollstd6,8.633295e-05,DPCERA3M086SBEA,"Consumption, Orders and Inventories",rolling_stat
CONSPI__rollstd24,8.619379e-05,CONSPI,Money and Credit,rolling_stat
IPMANSICS__lag1,8.619051e-05,IPMANSICS,Output and Income,lag
IPDCONGD__rollmean6,8.611834e-05,IPDCONGD,Output and Income,rolling_stat
CES3000000008__lag6,8.600979e-05,CES3000000008,Prices,lag
DDURRG3M086SBEA__rollmean24,8.586906e-05,DDURRG3M086SBEA,Prices,rolling_stat
CES0600000007__lag12,8.583528e-05,CES0600000007,Labor Market,lag
AWHMAN__rollz6,8.576206e-05,AWHMAN,Labor Market,rolling_stat
INVEST__rollstd24,8.559004e-05,INVEST,Money and Credit,rolling_stat
TB3MS__mom6,8.5588035e-05,TB3MS,Interest and Exchange Rates,momentum
CPITRNSL__mom3,8.548921e-05,CPITRNSL,Prices,momentum
USGOVT__lag6,8.5442945e-05,USGOVT,Labor Market,lag
PPICMM__base,8.539969e-05,PPICMM,Prices,base
CE16OV__mom12,8.4980566e-05,CE16OV,Labor Market,momentum
SP500__base,8.473682e-05,SP500,Stock Market,base
GS5__rollmean24,8.4708634e-05,GS5,Interest and Exchange Rates,rolling_stat
UNRATE__rollmean6,8.4669875e-05,UNRATE,Labor Market,rolling_stat
TOTRESNS__mom3,8.462769e-05,TOTRESNS,Money and Credit,momentum
GS5__lag6,8.4339496e-05,GS5,Interest and Exchange Rates,lag
TOTRESNS__rollmean12,8.433583e-05,TOTRESNS,Money and Credit,rolling_stat
CUUR0000SA0L2__mom12,8.363341e-05,CUUR0000SA0L2,Prices,momentum
UEMP5TO14__lag1,8.297024e-05,UEMP5TO14,Labor Market,lag
PERMITS__rollz6,8.2854545e-05,PERMITS,Housing,rolling_stat
DNDGRG3M086SBEA__mom3,8.270766e-05,DNDGRG3M086SBEA,Prices,momentum
T10YFFM__lag3,8.263347e-05,T10YFFM,Interest and Exchange Rates,lag
USGOOD__lag9,8.26249e-05,USGOOD,Labor Market,lag
PAYEMS__lag12,8.2574436e-05,PAYEMS,Labor Market,lag
CONSPI__lag9,8.2549835e-05,CONSPI,Money and Credit,lag
